sk_consulta,sk_medico,sk_data,sk_tipo_consulta,preco_consulta,nota
182,98761,429,2.0,,4.9
183,87125,1821,2.0,,3.4
184,99876,1036,2.0,,0.6
185,111000,1155,2.0,,4.9
186,94469,2029,2.0,,3.2
187,47525,327,2.0,,2.5
188,30819,1887,2.0,,1.7
189,97936,1002,2.0,,0.9
190,151032,2145,2.0,,0.4
191,136258,1546,2.0,,3.6
192,153150,776,2.0,,4.8
193,37744,1094,2.0,,3.4
194,103089,479,2.0,,1.4
195,115896,1773,2.0,,4.2
196,149357,25,2.0,,3.4
197,11502,953,2.0,,4.7
198,17932,1201,2.0,,0.3
199,3950,458,2.0,300.0,2.9
200,90632,598,2.0,,1.8
201,153962,952,2.0,,2.9
202,140948,1864,2.0,,1.0
203,36312,456,2.0,,0.8
204,120203,1261,2.0,,0.2
205,2602,24,2.0,400.0,4.3
206,13234,1379,2.0,700.0,4.5
207,20681,742,2.0,,3.5
208,57546,1441,2.0,,1.5
209,44175,1017,2.0,,0.7
210,160965,81,2.0,,3.5
211,163207,2002,2.0,,1.4
212,73447,567,2.0,,4.2
213,28661,1998,1.0,250.0,1.6
214,100059,1065,2.0,,4.7
215,116499,351,2.0,,0.4
216,88892,1210,2.0,,1.3
217,37221,1049,1.0,480.0,3.6
218,59837,810,2.0,,3.4
219,50456,1944,2.0,,0.0
220,156571,1103,2.0,,0.7
221,41009,252,2.0,,1.9
222,94554,1670,2.0,,0.8
223,92074,792,2.0,80.0,4.8
224,92652,1751,2.0,,3.6
225,27942,2092,2.0,200.0,0.6
226,90036,1825,2.0,,2.1
227,143804,1572,2.0,,1.6
228,144487,2087,2.0,,0.6
229,163688,1066,2.0,,0.7
230,135217,98,2.0,,1.7
231,91756,132,2.0,,0.8
232,37093,1258,2.0,,1.0
233,120381,540,2.0,250.0,0.9
234,117472,582,2.0,,2.2
235,22070,550,2.0,,0.8
236,137144,486,2.0,,2.8
237,90273,921,2.0,,2.4
238,24950,305,2.0,,4.1
239,161079,1463,2.0,,1.0
240,130780,445,2.0,,1.3
241,106919,1888,2.0,,1.3
242,50448,2019,2.0,,0.6
243,56866,1356,2.0,300.0,1.7
244,159866,12,2.0,,0.4
245,93327,1799,2.0,,0.2
246,133773,312,2.0,,3.5
247,140684,2108,2.0,,1.1
248,11411,648,1.0,400.0,1.7
249,124542,1694,2.0,,1.1
250,99370,271,2.0,,4.9
251,133394,963,2.0,,0.8
252,53248,542,2.0,,2.1
253,1074,217,1.0,250.0,4.3
254,59253,1371,2.0,200.0,0.2
255,56551,974,2.0,,1.9
256,154903,1340,2.0,,4.2
257,50909,2147,2.0,,3.2
258,135069,1555,2.0,,4.5
259,104846,1656,2.0,,2.0
260,121378,2180,2.0,300.0,4.5
261,7714,497,1.0,220.0,4.3
262,100747,2099,2.0,,3.4
263,80447,38,2.0,,2.9
264,82096,469,2.0,,0.0
265,59941,2056,2.0,,0.3
266,156913,1393,2.0,,1.8
267,157863,68,2.0,,0.5
268,55872,359,2.0,,4.7
269,147257,504,2.0,,1.3
270,19771,345,2.0,,2.6
271,44234,214,2.0,,4.4
272,43255,118,2.0,,1.7
273,155796,1236,2.0,,2.6
274,103090,1054,2.0,,0.8
275,143800,2169,2.0,,2.6
276,39216,2166,2.0,,0.5
277,14477,1320,2.0,,4.2
278,74666,305,2.0,,1.5
279,148205,109,2.0,,4.2
280,161237,1991,2.0,,3.9
281,156879,78,2.0,,3.2
282,152864,1150,2.0,,2.8
283,81695,904,2.0,,0.9
284,51688,844,2.0,250.0,1.8
285,57025,1300,2.0,,2.4
286,147647,1324,2.0,,2.5
287,102456,792,2.0,,3.0
288,94027,641,2.0,,3.1
289,129816,359,2.0,,4.5
290,125441,2146,2.0,,3.9
291,93367,1164,2.0,,1.5
292,164992,1166,2.0,,4.3
293,15956,669,1.0,250.0,4.4
294,61360,1413,2.0,,3.6
295,5477,1414,1.0,500.0,2.4
296,88043,1839,2.0,,0.5
297,128564,132,2.0,,0.2
298,56528,649,2.0,200.0,0.8
299,10867,949,1.0,2.0,1.8
300,85687,1179,2.0,,0.3
301,66829,966,2.0,380.0,4.5
302,91755,2103,2.0,,3.3
303,55241,1586,2.0,,0.1
304,78754,665,2.0,,1.3
305,65493,277,2.0,,0.3
306,101692,2015,2.0,250.0,0.7
307,20559,393,2.0,,0.9
308,101362,995,2.0,,3.7
309,76163,662,2.0,,1.4
310,107716,1521,2.0,,4.4
311,134632,1603,2.0,80.0,4.2
312,107220,670,2.0,,1.3
313,146534,1756,2.0,,2.5
314,131660,228,2.0,,0.6
315,123934,788,2.0,,4.7
316,61904,474,2.0,,4.0
317,114943,2151,2.0,50.0,0.9
318,132496,2047,2.0,,2.7
319,133403,624,2.0,350.0,4.7
320,134962,1154,2.0,,0.2
321,109796,334,2.0,,2.7
322,33153,2164,1.0,1300.0,2.7
323,84622,142,2.0,,3.5
324,11360,113,2.0,,4.8
325,121395,1146,2.0,,2.1
326,46591,1156,2.0,,3.1
327,87099,1233,2.0,100.0,0.8
328,144879,605,2.0,,0.2
329,80095,800,2.0,,1.2
330,86379,1678,2.0,,0.7
331,138743,1257,2.0,,3.1
332,104371,82,2.0,,4.3
333,49734,932,2.0,,1.1
334,78530,1717,2.0,,0.6
335,37427,409,2.0,,3.7
336,701,433,1.0,350.0,0.9
337,125288,348,2.0,,3.5
338,31938,221,2.0,,3.8
339,84713,2088,2.0,,4.2
340,53665,1031,2.0,,2.5
341,68472,1200,2.0,,3.3
342,161533,17,2.0,,4.7
343,27429,2040,2.0,300.0,0.2
344,124020,1228,2.0,,0.1
345,70531,1262,2.0,,3.4
346,140423,242,2.0,,0.6
347,62854,506,2.0,,4.1
348,111196,1048,2.0,,0.7
349,37882,1570,2.0,,2.8
350,147062,481,2.0,400.0,4.0
351,1063,1681,1.0,300.0,1.8
352,67931,1974,2.0,500.0,2.3
353,112859,1925,2.0,,2.1
354,85080,255,2.0,,4.1
355,114385,2137,2.0,,2.3
356,50062,961,2.0,650.0,4.9
357,99331,1384,2.0,,1.8
358,84910,1599,2.0,,2.5
359,80318,1221,2.0,,1.8
360,52742,1253,2.0,,0.1
361,15780,1235,2.0,,4.9
362,24514,1651,2.0,,4.5
363,29103,656,2.0,,4.6
364,51997,1580,1.0,140.0,4.7
365,94053,1084,2.0,,1.8
366,42758,311,1.0,,4.9
367,54494,1560,2.0,,1.0
368,66605,1506,2.0,,1.2
369,66015,2170,2.0,,4.6
370,147035,1749,2.0,80.0,4.3
371,29830,2075,2.0,,4.2
372,77532,2023,2.0,,1.9
373,44755,2179,2.0,,0.9
374,84923,2167,2.0,,3.7
375,41160,73,2.0,450.0,2.5
376,57226,2140,2.0,,4.6
377,119703,108,2.0,,1.3
378,79999,1242,2.0,150.0,1.9
379,56724,1008,2.0,,1.2
380,118828,293,2.0,300.0,4.2
381,45755,1685,2.0,,1.2
382,159157,1434,2.0,,5.0
383,66353,569,2.0,,2.6
384,66615,501,2.0,,4.2
385,31907,1985,2.0,,3.7
386,119482,1984,2.0,,2.5
387,25432,34,2.0,,4.9
388,164874,1756,2.0,,3.9
389,13053,1685,2.0,,2.2
390,111493,316,1.0,100.0,2.4
391,91073,558,2.0,,0.6
392,8446,1241,2.0,,2.8
393,102903,1844,2.0,,1.4
394,123743,299,2.0,,2.5
395,36222,1508,2.0,,0.5
396,34132,2142,2.0,,4.4
397,67600,1318,2.0,,3.3
398,144084,973,2.0,,2.1
399,84722,889,2.0,,0.2
400,80794,1879,2.0,,4.8
401,56532,730,2.0,200.0,1.0
402,150745,600,2.0,,1.7
403,14728,934,2.0,,3.6
404,66733,1959,2.0,,4.7
405,138076,1694,2.0,,1.0
406,38350,578,2.0,300.0,0.8
407,146276,1319,2.0,,1.0
408,151783,1348,2.0,,2.0
409,64101,914,2.0,200.0,4.7
410,64715,786,2.0,56.0,2.0
411,9204,1682,2.0,,0.4
412,108791,1490,2.0,,1.2
413,94379,261,2.0,,0.9
414,86788,577,2.0,,4.2
415,6946,1768,2.0,200.0,0.4
416,34110,2046,2.0,,1.5
417,8437,101,1.0,350.0,3.4
418,43325,1596,2.0,,4.5
419,11307,1720,2.0,220.0,0.3
420,23625,473,2.0,,4.9
421,108874,716,2.0,,3.3
422,100202,1698,2.0,100.0,5.0
423,120976,249,2.0,,3.6
424,120174,2082,2.0,,4.3
425,1312,17,1.0,600.0,3.0
426,24164,1601,2.0,,4.6
427,156899,1986,2.0,150.0,0.5
428,149318,1794,2.0,,3.7
429,74620,674,2.0,,1.1
430,81588,1566,2.0,,1.6
431,99568,1880,2.0,,3.2
432,31793,1024,2.0,,3.5
433,16520,1636,2.0,,3.9
434,123088,1058,2.0,,0.5
435,160626,1888,2.0,,1.6
436,113236,1604,2.0,,2.4
437,6354,146,1.0,600.0,2.1
438,121274,1646,2.0,,1.5
439,140141,2102,2.0,,5.0
440,73442,1511,2.0,,0.6
441,11147,2080,1.0,,0.5
442,161722,1689,2.0,,1.4
443,56464,898,2.0,500.0,3.6
444,42829,1304,2.0,,0.6
445,15102,878,2.0,450.0,4.7
446,110209,1178,2.0,,4.1
447,45873,866,2.0,,4.3
448,106971,1704,2.0,,2.6
449,120400,579,2.0,,4.6
450,105367,1291,2.0,,4.5
451,24978,1650,2.0,,0.6
452,142896,290,2.0,,3.9
453,35336,280,2.0,,0.6
454,35514,1070,2.0,,4.7
455,71588,1470,2.0,,4.4
456,44489,897,2.0,,1.8
457,138790,1649,2.0,,1.0
458,1953,1800,1.0,,2.4
459,25241,1364,1.0,,2.9
460,111987,199,2.0,,3.2
461,41511,1123,2.0,,1.4
462,116095,960,2.0,,0.2
463,114999,1635,2.0,200.0,4.1
464,106741,1703,2.0,,1.0
465,30900,1723,2.0,,2.9
466,3579,853,2.0,400.0,0.8
467,144495,1279,2.0,,1.6
468,37460,1497,2.0,,3.5
469,99805,1621,2.0,25.0,2.6
470,154474,1590,2.0,,4.9
471,117212,600,2.0,,4.9
472,57946,1362,2.0,350.0,1.7
473,90049,586,2.0,,3.2
474,83966,2142,2.0,,4.8
475,138165,668,2.0,,2.8
476,16381,1422,2.0,,2.9
477,36130,601,2.0,250.0,1.9
478,97878,408,1.0,80.0,3.3
479,155222,89,2.0,,4.2
480,112818,1281,2.0,,1.6
481,1943,1392,2.0,,0.8
482,69387,1922,2.0,,2.5
483,39766,812,2.0,,2.0
484,36607,1699,2.0,,0.2
485,99426,23,2.0,,2.3
486,93427,50,2.0,,0.2
487,123508,1450,2.0,,2.0
488,26941,1718,2.0,,2.4
489,121710,1131,2.0,1.0,4.8
490,32430,1486,2.0,,4.6
491,136730,321,2.0,,4.6
492,55551,919,2.0,200.0,3.3
493,120288,2053,2.0,,2.3
494,58326,1591,1.0,,0.6
495,79732,808,2.0,80.0,0.1
496,102190,1177,2.0,,0.6
497,135777,743,2.0,,4.0
498,10217,594,2.0,,4.6
499,132121,310,2.0,,0.9
500,32832,11,2.0,,1.6
501,108305,1579,2.0,,1.5
502,93148,836,2.0,,4.2
503,98547,312,2.0,350.0,0.3
504,16449,177,2.0,,2.6
505,60598,929,2.0,,0.0
506,158287,814,2.0,,2.5
507,51465,1791,2.0,,1.5
508,142196,746,2.0,,4.9
509,108352,476,2.0,280.0,0.1
510,25079,481,2.0,,4.1
511,147539,874,2.0,,4.0
512,161213,815,2.0,,4.4
513,39511,364,2.0,,3.3
514,132209,1276,2.0,,4.9
515,138587,12,2.0,,3.5
516,57111,1287,2.0,,4.6
517,101044,1204,2.0,,2.6
518,26836,1336,2.0,,1.9
519,14153,1421,2.0,400.0,1.2
520,101379,1374,2.0,250.0,2.7
521,30025,1351,2.0,,0.8
522,30298,1515,2.0,,3.7
523,70511,734,2.0,700.0,5.0
524,115265,1801,2.0,,2.6
525,61192,1896,2.0,,0.3
526,93274,649,2.0,180.0,0.8
527,136910,2114,2.0,250.0,3.2
528,86588,1053,2.0,,1.0
529,146248,609,2.0,,3.5
530,42813,1906,2.0,,3.8
531,39484,1737,2.0,,2.8
532,113934,494,2.0,,4.7
533,141893,2002,2.0,,4.8
534,38839,1693,2.0,,0.4
535,130213,334,2.0,,3.4
536,143442,2169,2.0,200.0,3.3
537,135090,2027,2.0,,4.5
538,19173,1712,2.0,200.0,3.3
539,12862,872,2.0,,0.4
540,160375,1856,2.0,,2.9
541,75588,779,2.0,,2.0
542,124072,1715,2.0,,2.3
543,123950,1151,2.0,,3.1
544,75125,2,1.0,110.0,2.8
545,118313,1690,2.0,,0.4
546,57516,2181,2.0,,1.2
547,107327,2056,2.0,,4.7
548,107477,1018,2.0,,3.1
549,52662,586,2.0,,0.0
550,160568,797,2.0,,2.0
551,56012,1063,2.0,,4.1
552,40073,1724,2.0,,0.6
553,131028,356,2.0,,0.6
554,599,1925,1.0,330.0,2.6
555,99540,1935,2.0,,2.0
556,17299,102,1.0,100.0,1.1
557,123971,1914,2.0,,3.7
558,93864,184,2.0,,2.4
559,4844,1539,1.0,300.0,3.4
560,88651,1455,2.0,,0.3
561,158796,556,2.0,,3.8
562,30,1246,1.0,450.0,3.8
563,11641,1017,2.0,,4.3
564,138572,265,2.0,,2.5
565,19537,497,1.0,350.0,2.6
566,65898,1250,2.0,,3.1
567,36683,1268,2.0,,5.0
568,1362,1216,2.0,,4.3
569,157698,325,2.0,,2.1
570,21528,1860,2.0,,3.2
571,8248,2067,2.0,,3.1
572,126396,1387,2.0,,1.6
573,46298,2156,2.0,250.0,3.0
574,147493,476,2.0,,0.6
575,115214,94,2.0,,4.3
576,120045,1817,2.0,,3.2
577,69805,1593,2.0,,1.0
578,134572,623,2.0,,1.0
579,106163,527,2.0,,0.8
580,116622,2097,2.0,,3.2
581,103739,244,2.0,,1.1
582,145383,839,2.0,,5.0
583,105657,739,2.0,,2.8
584,65437,1224,2.0,,2.0
585,22974,966,2.0,,3.4
586,37160,960,2.0,,2.9
587,57023,485,2.0,,1.0
588,139728,2000,2.0,,1.5
589,73341,1967,2.0,,2.2
590,119150,780,2.0,,2.1
591,157241,1547,2.0,,0.8
592,38215,325,2.0,,3.1
593,80929,1942,2.0,,1.5
594,35136,1961,1.0,,4.6
595,13292,857,1.0,,3.1
596,148648,501,2.0,,3.7
597,130706,1056,2.0,350.0,1.7
598,122718,248,2.0,,2.4
599,151223,2054,2.0,,1.1
600,118664,1019,2.0,,2.3
601,111177,221,2.0,,4.4
602,73842,288,2.0,,3.0
603,59055,776,2.0,,4.2
604,54546,681,2.0,,0.6
605,127947,865,2.0,350.0,3.8
606,67278,853,2.0,120.0,3.0
607,155625,653,2.0,,2.4
608,152126,1948,2.0,,0.4
609,150358,347,2.0,850.0,3.3
610,44702,705,2.0,,0.7
611,89952,1392,2.0,,0.8
612,112482,1392,2.0,,2.2
613,112989,252,2.0,,3.4
614,46531,2075,2.0,300.0,1.2
615,133869,1639,2.0,,2.3
616,130653,192,2.0,,4.7
617,141119,1311,2.0,,4.2
618,110008,1807,2.0,,1.6
619,145717,2145,2.0,,2.7
620,35379,498,2.0,500.0,1.2
621,64540,64,2.0,,3.6
622,70443,2034,2.0,,1.9
623,23572,199,2.0,,5.0
624,25326,210,2.0,200.0,2.5
625,9785,2063,2.0,,0.4
626,104452,2129,2.0,,0.9
627,107639,1766,2.0,,2.7
628,67983,1273,2.0,,4.5
629,28220,2148,2.0,,4.8
630,42321,101,2.0,,1.1
631,105699,327,2.0,110.0,1.2
632,150582,407,2.0,,3.6
633,9853,1257,2.0,150.0,2.2
634,25691,1446,2.0,,0.9
635,104719,41,2.0,,1.8
636,159841,384,2.0,,3.6
637,145633,788,2.0,150.0,0.1
638,151761,1597,2.0,120.0,3.8
639,93531,1937,2.0,,4.7
640,8187,796,2.0,,3.3
641,94473,642,2.0,,1.7
642,74936,1068,2.0,,4.6
643,64243,1409,2.0,,1.3
644,20988,1532,2.0,,4.7
645,95521,519,2.0,,4.0
646,34249,979,1.0,300.0,1.8
647,123488,2006,2.0,,2.9
648,9973,624,2.0,,4.6
649,98695,1533,2.0,,0.7
650,48274,2093,2.0,300.0,0.3
651,77474,1385,2.0,,0.2
652,104415,1991,2.0,,3.5
653,146548,1886,2.0,,4.0
654,33283,1728,2.0,100.0,3.7
655,150749,1142,2.0,,3.3
656,66796,1450,2.0,,0.2
657,110850,46,2.0,150.0,2.9
658,3190,1168,2.0,250.0,1.0
659,117031,1405,2.0,,0.8
660,109798,2127,2.0,,2.1
661,117154,1790,2.0,,2.7
662,119143,637,2.0,,0.7
663,66011,83,2.0,,2.8
664,4116,2032,2.0,,3.8
665,163769,882,2.0,,3.2
666,155119,206,2.0,150.0,4.9
667,2159,156,1.0,400.0,4.5
668,154893,1261,2.0,250.0,2.6
669,88622,190,2.0,,4.1
670,4630,1124,2.0,400.0,4.4
671,50222,605,2.0,,1.6
672,108957,218,2.0,,1.9
673,161263,1185,2.0,,4.6
674,86834,475,2.0,,4.3
675,41632,1889,2.0,,1.8
676,142298,1008,2.0,,4.0
677,34765,932,2.0,,4.3
678,101514,72,2.0,,0.5
679,102893,167,2.0,,4.2
680,149797,319,2.0,,4.9
681,20856,1426,2.0,,3.8
682,137700,1681,2.0,,1.9
683,94768,535,2.0,,0.3
684,46788,540,1.0,,4.1
685,42310,505,2.0,,3.2
686,24911,1693,2.0,,4.7
687,21019,158,2.0,,1.6
688,27949,194,2.0,300.0,0.1
689,123316,515,2.0,,1.7
690,52900,843,2.0,250.0,3.8
691,46742,517,2.0,,0.3
692,162279,458,2.0,,1.5
693,151053,1502,2.0,,2.4
694,13424,1550,1.0,150.0,3.8
695,104796,1524,2.0,,2.2
696,37604,846,2.0,,3.7
697,130814,1524,2.0,,1.5
698,133453,1349,2.0,,0.3
699,160156,1912,2.0,,2.0
700,122605,1300,2.0,,1.0
701,18507,1652,2.0,,0.8
702,146783,899,2.0,,2.0
703,115724,1593,2.0,,1.8
704,14194,450,1.0,350.0,2.5
705,20713,2167,2.0,350.0,3.7
706,4273,845,2.0,,2.4
707,122100,577,2.0,,0.5
708,37758,1853,2.0,,0.0
709,65293,954,2.0,,4.8
710,49325,1995,2.0,,0.5
711,63086,1158,2.0,,2.8
712,68727,1987,2.0,,4.5
713,10592,12,1.0,300.0,4.9
714,136134,1079,2.0,,4.3
715,161543,853,2.0,,2.0
716,11580,872,1.0,450.0,0.2
717,24858,86,2.0,,0.9
718,68523,259,2.0,,4.0
719,1804,1196,1.0,800.0,1.3
720,143343,1559,2.0,,4.6
721,131408,1144,2.0,,0.2
722,37290,940,2.0,,4.9
723,134054,256,2.0,,4.7
724,141624,2150,2.0,,4.3
725,86345,503,2.0,,1.2
726,12974,336,2.0,,3.1
727,6268,606,2.0,350.0,4.0
728,73501,1475,2.0,,2.6
729,76092,1614,2.0,,4.8
730,11838,1617,2.0,,0.3
731,59291,1581,2.0,,3.8
732,162319,397,2.0,,2.5
733,126546,2143,2.0,,5.0
734,96757,1240,2.0,,1.7
735,64396,683,2.0,,0.3
736,164902,1810,2.0,,3.2
737,142755,365,2.0,400.0,4.8
738,81348,1648,2.0,,2.7
739,23616,1196,2.0,,1.4
740,15243,156,2.0,200.0,3.5
741,102739,1684,2.0,,0.7
742,130880,900,2.0,,1.9
743,65746,769,2.0,,0.9
744,23840,1435,2.0,,0.5
745,82181,916,2.0,,4.5
746,83219,662,2.0,180.0,4.0
747,30576,97,1.0,420.0,3.8
748,44869,1517,1.0,374.0,4.9
749,135783,1442,2.0,300.0,2.0
750,100796,1434,2.0,,2.4
751,38427,1137,2.0,,2.7
752,119667,1135,2.0,,1.8
753,36033,934,2.0,,2.9
754,78446,1149,2.0,140.0,2.0
755,136307,652,2.0,,1.1
756,157451,1216,2.0,,3.3
757,36625,1449,2.0,,1.2
758,157742,2019,2.0,,4.7
759,108347,79,2.0,80.0,2.4
760,49478,244,2.0,130.0,3.9
761,91016,1105,2.0,,3.8
762,163809,1220,2.0,,3.5
763,133421,1333,2.0,,3.4
764,79824,1224,2.0,,2.9
765,48813,1899,2.0,,2.5
766,148042,846,2.0,,4.7
767,7164,1825,1.0,120.0,4.9
768,78502,2119,2.0,,1.2
769,145188,213,2.0,,1.8
770,4685,1416,2.0,400.0,4.2
771,106876,1454,2.0,,1.9
772,103371,915,2.0,,0.9
773,10567,1201,2.0,,0.6
774,126819,1610,2.0,,2.6
775,95710,1866,2.0,,4.8
776,2330,962,1.0,800.0,0.9
777,111838,285,2.0,,0.9
778,50900,1515,2.0,180.0,3.0
779,1777,835,2.0,500.0,2.2
780,62855,53,2.0,,0.4
781,149855,2120,2.0,,0.5
782,21890,382,2.0,,4.4
783,106980,1113,2.0,,4.6
784,11310,599,1.0,315.0,0.3
785,89650,1207,2.0,,1.9
786,99535,399,2.0,,1.0
787,117975,1896,2.0,,1.6
788,152552,2047,2.0,,1.6
789,160607,723,2.0,,2.8
790,159946,1660,2.0,,0.4
791,130328,1652,2.0,,0.2
792,51172,389,2.0,,4.7
793,74552,2018,2.0,,1.1
794,24476,219,2.0,,1.3
795,58846,1765,1.0,,2.0
796,14217,395,2.0,,0.5
797,72786,26,2.0,60.0,2.2
798,14507,843,2.0,,0.6
799,120750,1857,2.0,,3.2
800,142989,1208,2.0,,3.6
801,92120,1332,2.0,70.0,4.0
802,47893,513,2.0,150.0,2.2
803,75282,544,2.0,,3.8
804,143465,1009,2.0,,3.3
805,122499,1745,2.0,,1.8
806,31878,1173,2.0,,1.8
807,135727,338,2.0,,3.9
808,38021,304,2.0,,4.6
809,115726,1737,2.0,,2.8
810,105885,1508,2.0,,0.6
811,58596,1183,2.0,200.0,3.4
